,Name of company,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Natural Language Processing (NLP),Computer Vision,Deep Learning,Machine Learning,Robotics
0,TATA STEEL DOWNSTREAM PRODUCTS LTD,Work from office,9.9,2,5,1,2,December,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),spaCy,Microsoft Cognitive Services","Detectron2,Mask R-CNN,YOLO,OpenCV,PyTorch",Keras,"H2O.ai,Weka,XGBoost,R,Scikit-learn",PyBullet
1,HERO MOTOCORP,Work from office,8.0,5,0,2,0,September,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Stanford NLP,Natural Language Toolkit (NLTK)","OpenCV,TensorFlow,Mask R-CNN","MXNet,Caffe,Keras",XGBoost,"TensorFlow Robotics,RoboFlow,Robot Operating System (ROS),ROS 2,PyBullet"
2,V CONSTRUCT,Work from office,9.4,8,10,0,0,July,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),Google Cloud Natural Language API,AllenNLP,spaCy","Detectron2,Mask R-CNN,TensorFlow,OpenCV,PyTorch,YOLO","MXNet,PyTorch",RapidMiner,"RoboFlow,ROS 2,TensorFlow Robotics,Gazebo,PyBullet"
3,WHIRLPOOL INDIA,Work from office,8.7,8,8,0,0,December,🧠Artificial Intelligence and Machine Learning,,"Detectron2,YOLO","ONNX,MXNet","XGBoost,Scikit-learn,H2O.ai,Weka,R,RapidMiner",
4,GOOGLE,Work from Home,6.4,1,2,2,0,July,🧠Artificial Intelligence and Machine Learning,,,"Caffe,PyTorch,MXNet,ONNX,Keras,TensorFlow","R,RapidMiner,H2O.ai,Weka,XGBoost,Scikit-learn",ROS 2
5,SCHLUMBERGER,Work from Home,8.3,10,6,1,0,June,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Google Cloud Natural Language API,spaCy",TensorFlow,,"H2O.ai,XGBoost,Weka,RapidMiner",Robot Operating System (ROS)
6,KPMG ASSURANCE AND CONSULTING SERVICES LLP,Work from office,6.1,7,10,2,1,December,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Microsoft Cognitive Services,spaCy","Detectron2,YOLO,OpenCV","ONNX,Keras,Caffe",R,"Robot Operating System (ROS),Gazebo"
7,ORACLE,Work from Home,6.1,4,1,1,2,June,🧠Artificial Intelligence and Machine Learning,"Stanford NLP,spaCy","Detectron2,OpenCV","MXNet,Caffe,ONNX,PyTorch,TensorFlow","Weka,XGBoost","PyBullet,Robot Operating System (ROS)"
8,CION DIGITAL,Work from Home,7.9,8,5,2,0,Novermber,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),AllenNLP,spaCy","OpenCV,TensorFlow,YOLO,PyTorch","TensorFlow,Caffe,PyTorch,Keras,ONNX","Weka,XGBoost,Scikit-learn,R,H2O.ai,RapidMiner","ROS 2,PyBullet"
9,SEARCE,Work from office,9.6,8,7,2,2,July,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),spaCy,Stanford NLP,Microsoft Cognitive Services,AllenNLP,Google Cloud Natural Language API",,"MXNet,ONNX,Keras,PyTorch,TensorFlow",,"PyBullet,Robot Operating System (ROS),RoboFlow"
10,LG ELECTRONICS,Work from office,9.2,0,1,0,1,June,🧠Artificial Intelligence and Machine Learning,,"Detectron2,PyTorch,Mask R-CNN,OpenCV","MXNet,TensorFlow,ONNX",XGBoost,"Gazebo,Robot Operating System (ROS)"
11,BGAUSES,Work from office,8.7,6,9,0,0,June,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,AllenNLP,Natural Language Toolkit (NLTK),Microsoft Cognitive Services,spaCy,Stanford NLP",Detectron2,"Caffe,ONNX","H2O.ai,RapidMiner,Weka","PyBullet,Robot Operating System (ROS),RoboFlow"
12,ESPRESSIF SYSTEMS,Work from Home,9.1,1,2,2,0,September,🧠Artificial Intelligence and Machine Learning,,"Mask R-CNN,OpenCV,TensorFlow,PyTorch,YOLO","TensorFlow,MXNet,Caffe,PyTorch,ONNX,Keras","H2O.ai,Weka,Scikit-learn,RapidMiner","Robot Operating System (ROS),ROS 2,PyBullet"
13,BETSOL,Work from office,6.5,9,0,2,2,June,🧠Artificial Intelligence and Machine Learning,"spaCy,Natural Language Toolkit (NLTK)","PyTorch,Detectron2,YOLO",,"RapidMiner,Weka,Scikit-learn,XGBoost,H2O.ai","TensorFlow Robotics,PyBullet,Gazebo,Robot Operating System (ROS)"
14,PHILIPS,Work from Home,6.8,0,1,1,1,August,🧠Artificial Intelligence and Machine Learning,"Microsoft Cognitive Services,Natural Language Toolkit (NLTK),Google Cloud Natural Language API,spaCy,AllenNLP,Stanford NLP",TensorFlow,PyTorch,"H2O.ai,Scikit-learn,RapidMiner,XGBoost,Weka,R","TensorFlow Robotics,Gazebo,RoboFlow,Robot Operating System (ROS),PyBullet,ROS 2"
15,UGAM SOLUTIONS,Work from office,8.1,9,5,2,2,December,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),Stanford NLP,Microsoft Cognitive Services,spaCy","PyTorch,OpenCV,Detectron2,Mask R-CNN",,"XGBoost,RapidMiner",
16,PAYTM,Work from Home,7.4,5,2,2,0,December,🧠Artificial Intelligence and Machine Learning,"spaCy,Natural Language Toolkit (NLTK),AllenNLP,Google Cloud Natural Language API,Stanford NLP,Microsoft Cognitive Services",Detectron2,PyTorch,,"ROS 2,Gazebo,RoboFlow,TensorFlow Robotics,Robot Operating System (ROS)"
