,Name of company,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Data Collection and Storage,Data Cleaning and Preprocessing,Data Visualization,Statistical Analysis,Business Intelligence (BI),Data Warehousing
0,TCS R&I,Work from office,9.4,1,3,0,0,October,📈Data Science and Analytics,,Tidyverse,ggplot2 in R,"SAS,Data.table,SPSS,Tidyverse,Base R","Oracle BI,IBM Cognos,SAP BusinessObjects","Microsoft SQL Server,Snowflake,Amazon Redshift"
1,ION GROUP,Work from office,7.0,3,9,2,1,December,📈Data Science and Analytics,"MLlib,MongoDB,Spark Streaming,HBase,GraphX,Cassandra","Tidyverse,Scikit-learn",,Tidyverse,"IBM Cognos,Oracle BI",
2,PIRAMAL,Work from office,8.3,8,1,1,2,August,📈Data Science and Analytics,"YARN,HDFS,HBase,MapReduce,Redis,Cassandra,Spark SQL","Pandas,OpenRefine,NumPy",,"Base R,Data.table,SPSS,SAS",,
3,SKF ENGINEERING AND LUBRICATION INDIA,Work from office,9.0,10,4,0,2,August,📈Data Science and Analytics,"MapReduce,Hive,Cassandra,Redis,HBase,Spark SQL,MLlib,YARN","NumPy,Dplyr,Pandas,Scikit-learn",,"SPSS,Tidyverse,SAS,Data.table",Oracle BI,"Microsoft SQL Server,Amazon Redshift,Snowflake"
4,DAR GROUP,Work from office,8.1,10,10,2,0,July,📈Data Science and Analytics,,"Tidyverse,OpenRefine,Pandas",Tableau,"Base R,Data.table,Tidyverse",,"Snowflake,Amazon Redshift,Microsoft SQL Server"
5,ADITYA BIRLA CAPITAL,Work from Home,8.7,2,9,1,0,June,📈Data Science and Analytics,"GraphX,HDFS,Redis,Hive,MLlib,Cassandra,YARN","OpenRefine,Dplyr,NumPy,Pandas,Tidyverse,Data.table,Scikit-learn",,"Data.table,Tidyverse,SAS","IBM Cognos,SAP BusinessObjects,Oracle BI","Snowflake,Amazon Redshift"
6,WALCHAND INDUSTRIES,Work from Home,6.6,8,10,1,1,July,📈Data Science and Analytics,,"Tidyverse,OpenRefine,Dplyr,Pandas,NumPy,Scikit-learn","ggplot2 in R,Tableau,PowerBI","SAS,Data.table,SPSS","Oracle BI,SAP BusinessObjects","Microsoft SQL Server,Amazon Redshift"
7,CITIUSTECH,Work from Home,7.1,9,10,1,2,Novermber,📈Data Science and Analytics,"MLlib,MongoDB","OpenRefine,Dplyr,Scikit-learn,Tidyverse,Pandas,Data.table","PowerBI,ggplot2 in R",Data.table,"SAP BusinessObjects,Oracle BI,IBM Cognos",
8,TORRENT GAS,Work from office,8.7,0,6,2,1,Novermber,📈Data Science and Analytics,"MongoDB,MLlib,MapReduce,HDFS,YARN","Data.table,NumPy,OpenRefine",Tableau,"Tidyverse,Base R,Data.table,SPSS","SAP BusinessObjects,Oracle BI,IBM Cognos",Microsoft SQL Server
9,TCS NINJA,Work from Home,9.9,1,3,0,1,June,📈Data Science and Analytics,"Redis,HBase,Cassandra,MongoDB,YARN,Spark SQL,Spark Streaming,MLlib,GraphX","Tidyverse,NumPy,Dplyr",,"SPSS,Base R,Data.table",IBM Cognos,"Amazon Redshift,Microsoft SQL Server,Snowflake"
10,HIRSCHVOGEL COMPONENTS INDIA PVT.LTD,Work from office,8.2,3,3,1,1,June,📈Data Science and Analytics,"HBase,MapReduce","Scikit-learn,NumPy,Data.table,Tidyverse,Pandas","PowerBI,ggplot2 in R,Tableau",,IBM Cognos,Amazon Redshift
11,ADANI GROUP,Work from Home,7.7,5,0,1,2,July,📈Data Science and Analytics,"HDFS,Spark Streaming,MongoDB,Redis","Data.table,Tidyverse,Dplyr,Pandas,Scikit-learn,OpenRefine,NumPy",Tableau,SPSS,SAP BusinessObjects,
12,ACCENTURE,Work from office,6.6,3,8,2,1,September,📈Data Science and Analytics,"HDFS,Redis,YARN,Hive",OpenRefine,"PowerBI,ggplot2 in R",,"IBM Cognos,Oracle BI",
13,CAP GEMINI,Work from office,10.0,7,5,1,1,August,📈Data Science and Analytics,"MLlib,HBase,Spark Streaming,Hive,GraphX,Spark SQL,HDFS,Cassandra",NumPy,"Tableau,PowerBI","Base R,Data.table,SAS,Tidyverse",,"Snowflake,Amazon Redshift,Microsoft SQL Server"
14,TEJAS NETWORKS,Work from Home,7.7,7,10,0,2,October,📈Data Science and Analytics,"Spark Streaming,MapReduce,Cassandra,HDFS,MLlib,YARN,MongoDB,Hive,Spark SQL,GraphX",,"Tableau,PowerBI",Base R,,"Microsoft SQL Server,Snowflake,Amazon Redshift"
15,COGNIZANT GENC ELEVATE,Work from office,7.3,7,4,1,2,July,📈Data Science and Analytics,"YARN,Cassandra,HBase,MapReduce","Pandas,Data.table,OpenRefine",,"Data.table,SPSS,SAS,Tidyverse,Base R","Oracle BI,SAP BusinessObjects",Snowflake
16,INFOGEN LABS,Work from office,7.7,1,9,2,2,July,📈Data Science and Analytics,"MapReduce,HBase,Hive,Redis,MLlib,HDFS,GraphX,MongoDB,YARN","Scikit-learn,Pandas,NumPy,Data.table,Tidyverse,OpenRefine","Tableau,ggplot2 in R","SPSS,Data.table,SAS,Base R",IBM Cognos,"Snowflake,Amazon Redshift"
17,LOREAL,Work from office,7.5,3,8,2,2,December,📈Data Science and Analytics,"HDFS,Spark Streaming",,"ggplot2 in R,Tableau,PowerBI","SPSS,Tidyverse,SAS,Base R,Data.table","IBM Cognos,Oracle BI,SAP BusinessObjects","Snowflake,Amazon Redshift"
18,HINDUSTAN UNIVER,Work from Home,6.7,3,5,1,1,December,📈Data Science and Analytics,"YARN,MongoDB,Spark Streaming,Redis,MLlib",,"ggplot2 in R,PowerBI,Tableau",,"IBM Cognos,SAP BusinessObjects,Oracle BI","Microsoft SQL Server,Snowflake"
19,SAMSUNG R&D,Work from office,6.0,9,2,2,1,December,📈Data Science and Analytics,"HDFS,MapReduce,Spark Streaming,MongoDB,Cassandra","Pandas,Data.table,Dplyr","Tableau,ggplot2 in R,PowerBI","SAS,Data.table,Tidyverse",SAP BusinessObjects,
20,HDFC BANK,Work from office,9.7,5,2,2,0,October,📈Data Science and Analytics,"HDFS,Spark SQL,MLlib,Cassandra,HBase,Spark Streaming,Hive,YARN,GraphX,Redis","Pandas,NumPy","PowerBI,ggplot2 in R","Data.table,SPSS,SAS,Base R",,"Snowflake,Amazon Redshift"
21,AKZONOBEL,Work from Home,9.9,10,1,1,0,October,📈Data Science and Analytics,"Spark SQL,MongoDB,Cassandra","Data.table,OpenRefine,NumPy,Pandas,Dplyr,Scikit-learn,Tidyverse",,"Base R,Tidyverse",SAP BusinessObjects,Amazon Redshift
