,Name of company,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Version Control,Continuous Integration,Configuration Management,Containerization,Continuous Deployment,Monitoring and Logging,Collaboration and Communication
0,SHAH TECHNICAL CONSULTANTS PVT.LTD,Work from office,9.9,10,0,1,0,October,👨‍💻Devops Engineer,"GitHub,GitLab,Bitbucket,Git","Ruby,Groovy,Jenkins,Python,Travis CI,Java,CircleCI","Puppet,YAML,Ansible,Chef",,"Python,YAML,Chef,Ansible","Python,Ruby,Nagios,Grafana,Prometheus,YAML,ELK stack","Microsoft Teams,Slack,Jira,Trello"
1,SHAPOORJI PALLONJI,Work from Home,8.5,8,2,1,2,July,👨‍💻Devops Engineer,"GitLab,GitHub,Bitbucket,Git","Ruby,Groovy,Jenkins,Travis CI,CircleCI","Chef,Ansible,YAML,Puppet","Kubernetes,Docker,Docker Compose,Helm","Chef,Ruby,YAML,Ansible,Python,Puppet","Java,Ruby,YAML","Trello,Jira,Slack,Microsoft Teams"
2,ICICI SECURITIES,Work from office,8.5,3,10,2,1,August,👨‍💻Devops Engineer,"GitHub,Bitbucket","Java,Ruby,Groovy,Travis CI","Python,Ruby,Ansible,Puppet,YAML,Chef","Docker Compose,Helm,Docker,Kubernetes","YAML,Ruby",,
3,TATA TECHNOLOGIES,Work from office,7.1,5,4,0,1,October,👨‍💻Devops Engineer,,"CircleCI,Travis CI,Java,Jenkins,Groovy,Ruby","Ansible,YAML",Helm,,"Prometheus,YAML,ELK stack,Java",Trello
4,TEJAS NETWORKS,Work from Home,7.9,7,3,0,0,September,👨‍💻Devops Engineer,"GitHub,Bitbucket","Ruby,Groovy,Travis CI,Java,Jenkins,CircleCI,Python",Chef,"Docker,Helm,Docker Compose,Kubernetes","Python,Chef,Puppet,YAML,Ansible,Ruby","ELK stack,Java,YAML,Python,Prometheus,Nagios",
5,BES CONSULTANT PVT.LTD,Work from Home,8.3,10,5,1,2,October,👨‍💻Devops Engineer,GitLab,"Ruby,Jenkins,Travis CI","Ansible,YAML,Chef",Docker,,"ELK stack,YAML,Ruby,Grafana,Java,Python","Jira,Microsoft Teams,Trello"
6,FEV INDIA,Work from office,6.1,8,2,0,0,July,👨‍💻Devops Engineer,,"Java,Jenkins,Travis CI,Ruby,Groovy",,"Kubernetes,Docker,Docker Compose","Chef,Ansible,Ruby,Python,YAML","Prometheus,Python,Grafana,Nagios,YAML,Ruby,Java,ELK stack",
7,FAMITECH TECHNOLOGY,Work from office,9.4,9,9,0,0,September,👨‍💻Devops Engineer,"Git,GitLab","Python,Jenkins",,"Kubernetes,Docker Compose,Helm","Ruby,Python,Puppet,Ansible,Chef,YAML","Grafana,YAML,Prometheus",Microsoft Teams
8,TORRENT GAS,Work from Home,7.2,8,5,0,2,July,👨‍💻Devops Engineer,Bitbucket,"Jenkins,Ruby,Travis CI,Java,Python",,Kubernetes,"Python,YAML","Python,YAML,Java,ELK stack","Microsoft Teams,Slack,Trello"
9,PHILIPS,Work from office,8.6,9,6,1,0,July,👨‍💻Devops Engineer,"GitHub,Git","Groovy,Java","Python,Chef,Puppet,Ansible,Ruby",,"Ansible,Chef,Ruby,Puppet,YAML","YAML,Nagios,Java,ELK stack,Grafana",
10,TATA IQ,Work from office,9.7,2,6,2,1,December,👨‍💻Devops Engineer,"Bitbucket,GitHub,GitLab,Git",,,"Helm,Kubernetes,Docker,Docker Compose","Chef,Python,Ruby","YAML,Ruby,Python,ELK stack,Java,Nagios","Jira,Slack,Microsoft Teams"
