,Name of company,Address of company,Phone Number,Email Address,Previous Visited COEP,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Natural Language Processing (NLP),Computer Vision,Deep Learning,Machine Learning,Robotics
0,TATA STEEL DOWNSTREAM PRODUCTS LTD,HARYANA,9512941364,tatasteeldownstreamproductsltd@internship.com,Yes,Work from office,9.9,2,5,1,2,December,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),spaCy,Microsoft Cognitive Services","Detectron2,Mask R-CNN,YOLO,OpenCV,PyTorch",Keras,"H2O.ai,Weka,XGBoost,R,Scikit-learn",PyBullet
1,HERO MOTOCORP,GURGAON,9052929263,heromotocorp@internship.com,Yes,Work from office,8.0,5,0,2,0,September,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Stanford NLP,Natural Language Toolkit (NLTK)","OpenCV,TensorFlow,Mask R-CNN","MXNet,Caffe,Keras",XGBoost,"TensorFlow Robotics,RoboFlow,Robot Operating System (ROS),ROS 2,PyBullet"
2,V CONSTRUCT,KOLKATA,9717389691,vconstruct@internship.com,Yes,Work from office,9.4,8,10,0,0,July,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),Google Cloud Natural Language API,AllenNLP,spaCy","Detectron2,Mask R-CNN,TensorFlow,OpenCV,PyTorch,YOLO","MXNet,PyTorch",RapidMiner,"RoboFlow,ROS 2,TensorFlow Robotics,Gazebo,PyBullet"
3,WHIRLPOOL INDIA,GURGAON,9826045432,whirlpoolindia@internship.com,No,Work from office,8.7,8,8,0,0,December,🧠Artificial Intelligence and Machine Learning,N/A,"Detectron2,YOLO","ONNX,MXNet","XGBoost,Scikit-learn,H2O.ai,Weka,R,RapidMiner",N/A
4,GOOGLE,NASHIK,9063879689,google@internship.com,No,Work from Home,6.4,1,2,2,0,July,🧠Artificial Intelligence and Machine Learning,N/A,N/A,"Caffe,PyTorch,MXNet,ONNX,Keras,TensorFlow","R,RapidMiner,H2O.ai,Weka,XGBoost,Scikit-learn",ROS 2
5,SCHLUMBERGER,GURGAON,9502817632,schlumberger@internship.com,Yes,Work from Home,8.3,10,6,1,0,June,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Google Cloud Natural Language API,spaCy",TensorFlow,N/A,"H2O.ai,XGBoost,Weka,RapidMiner",Robot Operating System (ROS)
6,KPMG ASSURANCE AND CONSULTING SERVICES LLP,HYDERABAD,9396252307,kpmgassuranceandconsultingservicesllp@internship.com,Yes,Work from office,6.1,7,10,2,1,December,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Microsoft Cognitive Services,spaCy","Detectron2,YOLO,OpenCV","ONNX,Keras,Caffe",R,"Robot Operating System (ROS),Gazebo"
7,ORACLE,JAPAN,9272211909,oracle@internship.com,Yes,Work from Home,6.1,4,1,1,2,June,🧠Artificial Intelligence and Machine Learning,"Stanford NLP,spaCy","Detectron2,OpenCV","MXNet,Caffe,ONNX,PyTorch,TensorFlow","Weka,XGBoost","PyBullet,Robot Operating System (ROS)"
8,CION DIGITAL,LATUR,9730097252,ciondigital@internship.com,No,Work from Home,7.9,8,5,2,0,Novermber,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),AllenNLP,spaCy","OpenCV,TensorFlow,YOLO,PyTorch","TensorFlow,Caffe,PyTorch,Keras,ONNX","Weka,XGBoost,Scikit-learn,R,H2O.ai,RapidMiner","ROS 2,PyBullet"
9,SEARCE,PUNE,9838881381,searce@internship.com,No,Work from office,9.6,8,7,2,2,July,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),spaCy,Stanford NLP,Microsoft Cognitive Services,AllenNLP,Google Cloud Natural Language API",N/A,"MXNet,ONNX,Keras,PyTorch,TensorFlow",N/A,"PyBullet,Robot Operating System (ROS),RoboFlow"
10,LG ELECTRONICS,NOIDA,9379549428,lgelectronics@internship.com,Yes,Work from office,9.2,0,1,0,1,June,🧠Artificial Intelligence and Machine Learning,N/A,"Detectron2,PyTorch,Mask R-CNN,OpenCV","MXNet,TensorFlow,ONNX",XGBoost,"Gazebo,Robot Operating System (ROS)"
11,BGAUSES,NASHIK,9128539049,bgauses@internship.com,Yes,Work from office,8.7,6,9,0,0,June,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,AllenNLP,Natural Language Toolkit (NLTK),Microsoft Cognitive Services,spaCy,Stanford NLP",Detectron2,"Caffe,ONNX","H2O.ai,RapidMiner,Weka","PyBullet,Robot Operating System (ROS),RoboFlow"
12,ESPRESSIF SYSTEMS,HARYANA,9081173691,espressifsystems@internship.com,Yes,Work from Home,9.1,1,2,2,0,September,🧠Artificial Intelligence and Machine Learning,N/A,"Mask R-CNN,OpenCV,TensorFlow,PyTorch,YOLO","TensorFlow,MXNet,Caffe,PyTorch,ONNX,Keras","H2O.ai,Weka,Scikit-learn,RapidMiner","Robot Operating System (ROS),ROS 2,PyBullet"
13,BETSOL,JAIPUR,9225031020,betsol@internship.com,No,Work from office,6.5,9,0,2,2,June,🧠Artificial Intelligence and Machine Learning,"spaCy,Natural Language Toolkit (NLTK)","PyTorch,Detectron2,YOLO",N/A,"RapidMiner,Weka,Scikit-learn,XGBoost,H2O.ai","TensorFlow Robotics,PyBullet,Gazebo,Robot Operating System (ROS)"
14,PHILIPS,HYDERABAD,9044584838,philips@internship.com,No,Work from Home,6.8,0,1,1,1,August,🧠Artificial Intelligence and Machine Learning,"Microsoft Cognitive Services,Natural Language Toolkit (NLTK),Google Cloud Natural Language API,spaCy,AllenNLP,Stanford NLP",TensorFlow,PyTorch,"H2O.ai,Scikit-learn,RapidMiner,XGBoost,Weka,R","TensorFlow Robotics,Gazebo,RoboFlow,Robot Operating System (ROS),PyBullet,ROS 2"
15,UGAM SOLUTIONS,HARYANA,9367753945,ugamsolutions@internship.com,No,Work from office,8.1,9,5,2,2,December,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),Stanford NLP,Microsoft Cognitive Services,spaCy","PyTorch,OpenCV,Detectron2,Mask R-CNN",N/A,"XGBoost,RapidMiner",N/A
16,PAYTM,NOIDA,9047426222,paytm@internship.com,No,Work from Home,7.4,5,2,2,0,December,🧠Artificial Intelligence and Machine Learning,"spaCy,Natural Language Toolkit (NLTK),AllenNLP,Google Cloud Natural Language API,Stanford NLP,Microsoft Cognitive Services",Detectron2,PyTorch,N/A,"ROS 2,Gazebo,RoboFlow,TensorFlow Robotics,Robot Operating System (ROS)"
17,TATA STEEL DOWNSTREAM PRODUCTS LTD,HYDERABAD,9134704105,tatasteeldownstreamproductsltd@internship.com,No,Work from office,8.6,4,1,2,0,Novermber,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,Microsoft Cognitive Services,AllenNLP,Natural Language Toolkit (NLTK)","Detectron2,Mask R-CNN,TensorFlow,YOLO",TensorFlow,"R,RapidMiner,H2O.ai,XGBoost,Scikit-learn",PyBullet
18,WALCHAND INDUSTRIES,GUJARAT,9850902599,walchandindustries@internship.com,No,Work from office,8.1,9,5,2,0,October,🧠Artificial Intelligence and Machine Learning,N/A,N/A,"TensorFlow,MXNet,ONNX,Caffe","XGBoost,RapidMiner,Scikit-learn",N/A
19,ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT (AIILSG),JAPAN,9724459856,allindiainstituteoflocalselfgovernment(aiilsg)@internship.com,No,Work from Home,8.0,10,2,1,1,December,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),spaCy","TensorFlow,YOLO,PyTorch,Mask R-CNN",N/A,"RapidMiner,H2O.ai,Scikit-learn,Weka","ROS 2,Robot Operating System (ROS),PyBullet,TensorFlow Robotics,Gazebo"
20,LOREAL,AHMEDABAD,9598872447,loreal@internship.com,No,Work from Home,7.6,4,5,0,0,August,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Natural Language Toolkit (NLTK),Stanford NLP,spaCy","YOLO,Mask R-CNN,TensorFlow,PyTorch,Detectron2","Caffe,PyTorch,Keras,TensorFlow,ONNX",N/A,"TensorFlow Robotics,ROS 2,RoboFlow,Gazebo,PyBullet,Robot Operating System (ROS)"
21,ADANI GROUP,HARYANA,9298613435,adanigroup@internship.com,Yes,Work from Home,9.1,5,10,1,2,October,🧠Artificial Intelligence and Machine Learning,"spaCy,Stanford NLP","YOLO,TensorFlow,Mask R-CNN,PyTorch,OpenCV",PyTorch,RapidMiner,Robot Operating System (ROS)
22,NBC BEARING,NASHIK,9454825280,nbcbearing@internship.com,No,Work from office,7.7,6,4,1,0,September,🧠Artificial Intelligence and Machine Learning,N/A,"Detectron2,TensorFlow,PyTorch","MXNet,Keras,Caffe,PyTorch,ONNX,TensorFlow","Scikit-learn,XGBoost,H2O.ai","TensorFlow Robotics,PyBullet"
23,POLESTAR,AHMEDABAD,9792607525,polestar@internship.com,No,Work from office,6.7,8,4,2,0,July,🧠Artificial Intelligence and Machine Learning,"spaCy,Microsoft Cognitive Services,Google Cloud Natural Language API,AllenNLP",TensorFlow,"Caffe,TensorFlow,Keras,MXNet,ONNX","R,H2O.ai,Scikit-learn,Weka","Gazebo,Robot Operating System (ROS),RoboFlow,TensorFlow Robotics"
24,MSCI,CHENNAI,9393868367,msci@internship.com,No,Work from office,8.0,5,8,2,2,December,🧠Artificial Intelligence and Machine Learning,Stanford NLP,"OpenCV,Detectron2,TensorFlow",N/A,RapidMiner,"Robot Operating System (ROS),PyBullet,ROS 2,RoboFlow"
25,PIRAMAL,PUNE,9112505625,piramal@internship.com,No,Work from office,10.0,9,5,0,1,June,🧠Artificial Intelligence and Machine Learning,Stanford NLP,"Detectron2,PyTorch,OpenCV",ONNX,"RapidMiner,H2O.ai,Scikit-learn","PyBullet,ROS 2,RoboFlow"
26,CION DIGITAL,GURGAON,9665641412,ciondigital@internship.com,No,Work from office,9.4,6,2,1,2,October,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),Stanford NLP",N/A,Caffe,"RapidMiner,Weka,Scikit-learn,R,XGBoost,H2O.ai","PyBullet,Robot Operating System (ROS),ROS 2,Gazebo,TensorFlow Robotics,RoboFlow"
27,ADANI GROUP,HARYANA,9698396690,adanigroup@internship.com,No,Work from office,6.2,10,7,0,1,October,🧠Artificial Intelligence and Machine Learning,N/A,N/A,N/A,"R,XGBoost,Weka","RoboFlow,PyBullet,TensorFlow Robotics"
28,MSCI,GUJARAT,9459162048,msci@internship.com,No,Work from office,7.5,10,2,1,1,Novermber,🧠Artificial Intelligence and Machine Learning,"Stanford NLP,Microsoft Cognitive Services,spaCy","PyTorch,Detectron2,YOLO,OpenCV,TensorFlow,Mask R-CNN","Keras,MXNet,ONNX,Caffe","XGBoost,R,H2O.ai,Weka,Scikit-learn,RapidMiner","ROS 2,Gazebo,PyBullet,RoboFlow"
29,SOC GEN,NASHIK,9280486916,socgen@internship.com,Yes,Work from Home,8.9,10,4,0,0,December,🧠Artificial Intelligence and Machine Learning,"Stanford NLP,spaCy,AllenNLP,Microsoft Cognitive Services,Google Cloud Natural Language API,Natural Language Toolkit (NLTK)","YOLO,PyTorch","Keras,ONNX,PyTorch,TensorFlow,Caffe","H2O.ai,R,XGBoost,RapidMiner","Gazebo,PyBullet,TensorFlow Robotics,ROS 2,RoboFlow,Robot Operating System (ROS)"
30,ACCENTURE,GURGAON,9386075904,accenture@internship.com,No,Work from Home,7.0,6,3,0,2,December,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,spaCy,AllenNLP,Natural Language Toolkit (NLTK),Microsoft Cognitive Services","Detectron2,YOLO,TensorFlow","ONNX,TensorFlow,Caffe,PyTorch,MXNet","Scikit-learn,RapidMiner,R,H2O.ai","TensorFlow Robotics,RoboFlow,Gazebo"
31,AMERICAN AXLE MANUFACTURING INDIA PVT.LTD,AURANGABAD,9124040093,americanaxlemanufacturingindiapvt.ltd@internship.com,Yes,Work from office,8.7,10,5,0,1,September,🧠Artificial Intelligence and Machine Learning,"spaCy,Natural Language Toolkit (NLTK),Microsoft Cognitive Services,Google Cloud Natural Language API,AllenNLP,Stanford NLP","OpenCV,Mask R-CNN,YOLO,TensorFlow","Keras,ONNX,MXNet","RapidMiner,Weka,R","Gazebo,TensorFlow Robotics,Robot Operating System (ROS),RoboFlow,PyBullet,ROS 2"
32,AKZONOBEL,AURANGABAD,9621655231,akzonobel@internship.com,No,Work from Home,7.9,10,6,2,1,July,🧠Artificial Intelligence and Machine Learning,Google Cloud Natural Language API,"Mask R-CNN,PyTorch,TensorFlow,OpenCV,Detectron2","Keras,MXNet,Caffe","R,Scikit-learn","PyBullet,RoboFlow,TensorFlow Robotics,ROS 2,Gazebo,Robot Operating System (ROS)"
33,VARROC TECHNICAL CENTRE,AHMEDABAD,9761847417,varroctechnicalcentre@internship.com,Yes,Work from office,9.6,8,2,0,1,October,🧠Artificial Intelligence and Machine Learning,"spaCy,Microsoft Cognitive Services,Natural Language Toolkit (NLTK)","PyTorch,Detectron2","PyTorch,MXNet,Caffe","R,Scikit-learn,Weka,RapidMiner,H2O.ai","Robot Operating System (ROS),RoboFlow,ROS 2"
34,EATON,WALCHAND,9292690075,eaton@internship.com,No,Work from Home,9.7,2,10,1,0,July,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,spaCy,AllenNLP,Natural Language Toolkit (NLTK),Microsoft Cognitive Services,Stanford NLP","OpenCV,Detectron2,TensorFlow,PyTorch,Mask R-CNN","ONNX,Caffe","Weka,R,RapidMiner,XGBoost,Scikit-learn","TensorFlow Robotics,RoboFlow,Robot Operating System (ROS)"
35,ALIGNED AUTOMATION,CHENNAI,9152891088,alignedautomation@internship.com,No,Work from Home,9.8,3,6,0,1,June,🧠Artificial Intelligence and Machine Learning,"spaCy,Natural Language Toolkit (NLTK),Google Cloud Natural Language API,Microsoft Cognitive Services,Stanford NLP,AllenNLP",N/A,TensorFlow,"Weka,H2O.ai,Scikit-learn,XGBoost","Robot Operating System (ROS),Gazebo"
36,BARCLAYS,LATUR,9946475631,barclays@internship.com,Yes,Work from office,7.2,3,5,1,2,Novermber,🧠Artificial Intelligence and Machine Learning,N/A,"OpenCV,Detectron2,Mask R-CNN,YOLO,TensorFlow,PyTorch","Caffe,Keras,ONNX,TensorFlow","RapidMiner,R,Scikit-learn,XGBoost","Gazebo,PyBullet"
37,DANA INDIA,CHENNAI,9272252988,danaindia@internship.com,No,Work from office,9.7,5,10,2,2,July,🧠Artificial Intelligence and Machine Learning,"Natural Language Toolkit (NLTK),Stanford NLP,spaCy,Microsoft Cognitive Services","OpenCV,TensorFlow,YOLO,Detectron2,Mask R-CNN","ONNX,Keras,TensorFlow,PyTorch,Caffe,MXNet","Weka,H2O.ai,Scikit-learn,R,RapidMiner",TensorFlow Robotics
38,FINIQ,JAPAN,9369825225,finiq@internship.com,No,Work from office,9.5,9,3,0,2,Novermber,🧠Artificial Intelligence and Machine Learning,"Google Cloud Natural Language API,Natural Language Toolkit (NLTK),AllenNLP,Microsoft Cognitive Services,Stanford NLP,spaCy","Detectron2,PyTorch","ONNX,Keras,TensorFlow,MXNet","XGBoost,H2O.ai,Scikit-learn,Weka","PyBullet,ROS 2,Gazebo,TensorFlow Robotics,RoboFlow"
39,ENERGY MACHINES PVT.LTD,CHENNAI,9101630581,energymachinespvt.ltd@internship.com,No,Work from Home,6.9,6,9,1,0,September,🧠Artificial Intelligence and Machine Learning,Natural Language Toolkit (NLTK),"OpenCV,PyTorch,YOLO,Detectron2,TensorFlow,Mask R-CNN","MXNet,TensorFlow,Caffe,PyTorch","XGBoost,Weka,R","Robot Operating System (ROS),Gazebo,TensorFlow Robotics"
40,TATA MOTORS,WALCHAND,9819412782,tatamotors@internship.com,Yes,Work from Home,6.6,8,5,1,2,July,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Google Cloud Natural Language API,Stanford NLP,Microsoft Cognitive Services,Natural Language Toolkit (NLTK),spaCy","OpenCV,PyTorch,TensorFlow,Detectron2",MXNet,"R,RapidMiner",Gazebo
41,MERCEDES BENZ,AHMEDABAD,9377565514,mercedesbenz@internship.com,No,Work from office,8.1,3,5,1,0,October,🧠Artificial Intelligence and Machine Learning,N/A,"OpenCV,YOLO,TensorFlow,PyTorch","Keras,Caffe,TensorFlow","R,Scikit-learn,RapidMiner",Robot Operating System (ROS)
42,TALLY SOLUTIONS,HARYANA,9618105120,tallysolutions@internship.com,No,Work from office,7.0,6,4,1,1,August,🧠Artificial Intelligence and Machine Learning,Google Cloud Natural Language API,"PyTorch,TensorFlow,Detectron2","ONNX,PyTorch,Keras,Caffe",N/A,ROS 2
43,ADOR WELDING,HYDERABAD,9848664280,adorwelding@internship.com,Yes,Work from Home,8.4,1,5,2,2,June,🧠Artificial Intelligence and Machine Learning,"AllenNLP,Microsoft Cognitive Services",N/A,"MXNet,PyTorch,Caffe,TensorFlow","Weka,R,Scikit-learn,H2O.ai,RapidMiner,XGBoost","TensorFlow Robotics,RoboFlow,Robot Operating System (ROS)"
44,FAMITECH TECHNOLOGY,GUJARAT,9413697537,famitechtechnology@internship.com,Yes,Work from Home,9.3,1,5,0,0,June,🧠Artificial Intelligence and Machine Learning,N/A,"PyTorch,Mask R-CNN,OpenCV,TensorFlow,YOLO,Detectron2","ONNX,MXNet",N/A,"Gazebo,ROS 2,Robot Operating System (ROS),TensorFlow Robotics,PyBullet,RoboFlow"
45,L&T LIMITED,PUNE,9273542633,l&tlimited@internship.com,Yes,Work from office,6.2,6,8,2,2,August,🧠Artificial Intelligence and Machine Learning,"spaCy,Stanford NLP,Natural Language Toolkit (NLTK)","Mask R-CNN,YOLO,PyTorch,TensorFlow,Detectron2","PyTorch,Keras,TensorFlow,ONNX,Caffe",N/A,"RoboFlow,Gazebo,Robot Operating System (ROS),TensorFlow Robotics,PyBullet,ROS 2"
