,Unnamed: 0,Name of company,Address of company,Phone Number,Email Address,Previous Visited COEP,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Network Security,Application Security,Endpoint Security,Cloud Security,Data Security,Web Application Security
0,0,MICHELIN,HYDERABAD,9677311557,michelin@internship.com,Yes,Work from office,9.9,9,0,1,2,October,🕵🏻Cyber Security,"Cisco Security Solutions,Juniper Networks Security Solutions,Snort","OpenID Connect,Advanced Encryption Standard (AES),Data Encryption Standard (DES),SAML",,"Active Directory,Amazon Web Services (AWS) Security Tools","SHA-1,Blowfish","AppScan,Metasploit Framework,Burp Suite"
1,1,TAVISCA,CHENNAI,9164604389,tavisca@internship.com,Yes,Work from office,9.3,3,8,1,1,August,🕵🏻Cyber Security,Snort,,"Trend Micro Endpoint Security,McAfee Endpoint Security,Symantec Endpoint Protection",,"SHA-3,Blowfish,MD5,RSA,SHA-1,SHA-2,Data Encryption Standard (DES)","WebInspect,Acunetix,Metasploit Framework,AppScan,Spring Framework,McAfee Secure,Burp Suite"
2,2,CREDIT SUISSE,JAPAN,9794656525,creditsuisse@internship.com,Yes,Work from office,6.4,4,0,2,0,June,🕵🏻Cyber Security,"Cisco Security Solutions,Juniper Networks Security Solutions",LDAP,"Trend Micro Endpoint Security,Symantec Endpoint Protection","Microsoft Azure Security Tools,Amazon Web Services (AWS) Security Tools","SHA-3,RSA,Data Encryption Standard (DES),Advanced Encryption Standard (AES),SHA-2,SHA-1,Blowfish","Nessus,McAfee Secure,Burp Suite,OWASP ZAP,Spring Framework"
3,3,REIANCE JIO MEDIA,BANGALORE,9484233194,reiancejiomedia@internship.com,Yes,Work from office,8.4,6,9,1,1,August,🕵🏻Cyber Security,,"MD5,SHA-1,Data Encryption Standard (DES),SHA-2,SAML,Advanced Encryption Standard (AES),OAuth,Blowfish,SHA-3","Symantec Endpoint Protection,McAfee Endpoint Security,Trend Micro Endpoint Security","Google Cloud Platform (GCP) Security Tools,Microsoft Azure Security Tools,Active Directory,Amazon Web Services (AWS) Security Tools","SHA-3,RSA,SHA-2","Metasploit Framework,Burp Suite,WebInspect,McAfee Secure,Qualys,Acunetix"
4,4,DESHAW,CHENNAI,9108866421,deshaw@internship.com,No,Work from office,6.7,3,5,1,2,June,🕵🏻Cyber Security,"Cisco Security Solutions,Juniper Networks Security Solutions,Snort","Blowfish,OpenID Connect,OAuth,SAML",Symantec Endpoint Protection,"Amazon Web Services (AWS) Security Tools,Google Cloud Platform (GCP) Security Tools,Active Directory,Microsoft Azure Security Tools",,"Qualys,Spring Framework,Nessus,AppScan,WebInspect,Metasploit Framework,Acunetix"
5,5,MERCEDES BENZ,BANGALORE,9146379983,mercedesbenz@internship.com,Yes,Work from office,9.2,9,2,0,1,July,🕵🏻Cyber Security,,,"Symantec Endpoint Protection,Trend Micro Endpoint Security",Active Directory,"Blowfish,RSA,SHA-1,Data Encryption Standard (DES),MD5,Advanced Encryption Standard (AES),SHA-2","Spring Framework,Acunetix,OWASP ZAP,WebInspect,Burp Suite,Metasploit Framework,Qualys,Nessus,AppScan,McAfee Secure"
6,6,FAURECIA,MUMBAI,9903660445,faurecia@internship.com,No,Work from Home,8.9,0,1,1,0,July,🕵🏻Cyber Security,,"Advanced Encryption Standard (AES),SHA-1,OAuth,Blowfish,SAML,MD5,OpenID Connect,SHA-3,RSA,LDAP,Data Encryption Standard (DES),SHA-2",Symantec Endpoint Protection,"Google Cloud Platform (GCP) Security Tools,Microsoft Azure Security Tools,Active Directory","Blowfish,SHA-3,Data Encryption Standard (DES),SHA-2","WebInspect,McAfee Secure,Metasploit Framework,Spring Framework,AppScan,Acunetix,OWASP ZAP,Qualys,Nessus"
7,7,HELLA,GUJARAT,9020818745,hella@internship.com,No,Work from office,6.0,1,6,1,1,August,🕵🏻Cyber Security,,"Data Encryption Standard (DES),Blowfish,MD5,OpenID Connect,LDAP,Advanced Encryption Standard (AES)","Symantec Endpoint Protection,Trend Micro Endpoint Security,McAfee Endpoint Security","Microsoft Azure Security Tools,Amazon Web Services (AWS) Security Tools,Google Cloud Platform (GCP) Security Tools",RSA,"Burp Suite,Spring Framework,Acunetix,AppScan,OWASP ZAP,Metasploit Framework,Nessus,McAfee Secure,WebInspect"
8,8,VODAFONE,HYDERABAD,9279520662,vodafone@internship.com,No,Work from Home,7.4,2,6,1,0,October,🕵🏻Cyber Security,"Snort,Juniper Networks Security Solutions,Cisco Security Solutions","SHA-3,SAML,SHA-1,MD5,Blowfish",Trend Micro Endpoint Security,Microsoft Azure Security Tools,"MD5,Blowfish,RSA,SHA-3","OWASP ZAP,AppScan,Nessus,Acunetix,Burp Suite,Metasploit Framework,WebInspect,Spring Framework"
9,9,GOOGLE,MUMBAI,9416664071,google@internship.com,Yes,Work from Home,6.3,6,4,1,1,October,🕵🏻Cyber Security,,"LDAP,OAuth,OpenID Connect,Blowfish,SHA-3,MD5,SAML,SHA-1,Advanced Encryption Standard (AES),RSA,Data Encryption Standard (DES),SHA-2","McAfee Endpoint Security,Trend Micro Endpoint Security","Active Directory,Microsoft Azure Security Tools","SHA-2,Data Encryption Standard (DES),MD5,SHA-3,SHA-1,RSA","Spring Framework,AppScan,Nessus,WebInspect,Burp Suite,Metasploit Framework,Acunetix,McAfee Secure,Qualys"
10,10,TEXAS INSTRUMENTS,AURANGABAD,9119647552,texasinstruments@internship.com,Yes,Work from Home,8.7,3,10,0,2,December,🕵🏻Cyber Security,Juniper Networks Security Solutions,"SHA-1,Blowfish,SAML,SHA-2,Advanced Encryption Standard (AES),OAuth,MD5,RSA,Data Encryption Standard (DES),LDAP,SHA-3",Trend Micro Endpoint Security,,"SHA-3,MD5,SHA-1","Acunetix,Nessus,Spring Framework,OWASP ZAP,Burp Suite,Qualys,McAfee Secure,WebInspect,Metasploit Framework"
11,11,MICROLAND LTD,JAIPUR,9814097596,microlandltd@internship.com,Yes,Work from office,6.3,8,1,2,2,August,🕵🏻Cyber Security,,,"McAfee Endpoint Security,Trend Micro Endpoint Security,Symantec Endpoint Protection","Active Directory,Google Cloud Platform (GCP) Security Tools,Amazon Web Services (AWS) Security Tools,Microsoft Azure Security Tools","Data Encryption Standard (DES),SHA-1,Blowfish,SHA-3",
12,12,GOOGLE,JAIPUR,9485756041,google@internship.com,No,Work from Home,8.3,1,10,0,2,August,🕵🏻Cyber Security,"Cisco Security Solutions,Juniper Networks Security Solutions",,"Trend Micro Endpoint Security,McAfee Endpoint Security",,"Blowfish,SHA-2,RSA,SHA-1,MD5","OWASP ZAP,AppScan,Metasploit Framework,McAfee Secure,Burp Suite,Nessus,Spring Framework,Acunetix,WebInspect,Qualys"
13,13,VODAFONE,KOLKATA,9258840412,vodafone@internship.com,Yes,Work from office,7.5,1,6,0,1,June,🕵🏻Cyber Security,Juniper Networks Security Solutions,SHA-3,"Trend Micro Endpoint Security,Symantec Endpoint Protection",,"SHA-2,MD5,Blowfish,Data Encryption Standard (DES)","Acunetix,AppScan,Burp Suite,Spring Framework,Metasploit Framework"
14,14,GODREJ & BOYCE,NAVI MUMBAI,9014968256,godrej&boyce@internship.com,Yes,Work from Home,7.0,2,4,0,2,October,🕵🏻Cyber Security,"Cisco Security Solutions,Juniper Networks Security Solutions","SHA-1,Blowfish,LDAP,SAML,OpenID Connect,RSA,MD5,SHA-3,Advanced Encryption Standard (AES),SHA-2",,"Amazon Web Services (AWS) Security Tools,Microsoft Azure Security Tools","RSA,Data Encryption Standard (DES),SHA-3,SHA-2,MD5",OWASP ZAP
15,15,DEUTSCHE BANK,KOLKATA,9218777826,deutschebank@internship.com,No,Work from Home,8.6,2,9,2,0,December,🕵🏻Cyber Security,,"MD5,LDAP,Blowfish,RSA,OAuth,OpenID Connect,SAML,SHA-1,SHA-3",Symantec Endpoint Protection,,"RSA,Data Encryption Standard (DES),SHA-3,SHA-1,Blowfish","Acunetix,Metasploit Framework,Qualys,Nessus,WebInspect"
