,Name of company,Address of company,Phone Number,Email Address,Previous Visited COEP,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Data Collection and Storage,Data Cleaning and Preprocessing,Data Visualization,Statistical Analysis,Business Intelligence (BI),Data Warehousing
0,TCS R&I,PUNE,9563932087,tcsr&i@internship.com,Yes,Work from office,9.4,1,3,0,0,October,📈Data Science and Analytics,N/A,Tidyverse,ggplot2 in R,"SAS,Data.table,SPSS,Tidyverse,Base R","Oracle BI,IBM Cognos,SAP BusinessObjects","Microsoft SQL Server,Snowflake,Amazon Redshift"
1,ION GROUP,JAPAN,9512647521,iongroup@internship.com,No,Work from office,7.0,3,9,2,1,December,📈Data Science and Analytics,"MLlib,MongoDB,Spark Streaming,HBase,GraphX,Cassandra","Tidyverse,Scikit-learn",N/A,Tidyverse,"IBM Cognos,Oracle BI",N/A
2,PIRAMAL,NOIDA,9507691664,piramal@internship.com,No,Work from office,8.3,8,1,1,2,August,📈Data Science and Analytics,"YARN,HDFS,HBase,MapReduce,Redis,Cassandra,Spark SQL","Pandas,OpenRefine,NumPy",N/A,"Base R,Data.table,SPSS,SAS",N/A,N/A
3,SKF ENGINEERING AND LUBRICATION INDIA,AURANGABAD,9271008742,skfengineeringandlubricationindia@internship.com,No,Work from office,9.0,10,4,0,2,August,📈Data Science and Analytics,"MapReduce,Hive,Cassandra,Redis,HBase,Spark SQL,MLlib,YARN","NumPy,Dplyr,Pandas,Scikit-learn",N/A,"SPSS,Tidyverse,SAS,Data.table",Oracle BI,"Microsoft SQL Server,Amazon Redshift,Snowflake"
4,DAR GROUP,NOIDA,9653528859,dargroup@internship.com,No,Work from office,8.1,10,10,2,0,July,📈Data Science and Analytics,N/A,"Tidyverse,OpenRefine,Pandas",Tableau,"Base R,Data.table,Tidyverse",N/A,"Snowflake,Amazon Redshift,Microsoft SQL Server"
5,ADITYA BIRLA CAPITAL,CHENNAI,9656245933,adityabirlacapital@internship.com,Yes,Work from Home,8.7,2,9,1,0,June,📈Data Science and Analytics,"GraphX,HDFS,Redis,Hive,MLlib,Cassandra,YARN","OpenRefine,Dplyr,NumPy,Pandas,Tidyverse,Data.table,Scikit-learn",N/A,"Data.table,Tidyverse,SAS","IBM Cognos,SAP BusinessObjects,Oracle BI","Snowflake,Amazon Redshift"
6,WALCHAND INDUSTRIES,HYDERABAD,9416059321,walchandindustries@internship.com,Yes,Work from Home,6.6,8,10,1,1,July,📈Data Science and Analytics,N/A,"Tidyverse,OpenRefine,Dplyr,Pandas,NumPy,Scikit-learn","ggplot2 in R,Tableau,PowerBI","SAS,Data.table,SPSS","Oracle BI,SAP BusinessObjects","Microsoft SQL Server,Amazon Redshift"
7,CITIUSTECH,PUNE,9733790467,citiustech@internship.com,Yes,Work from Home,7.1,9,10,1,2,Novermber,📈Data Science and Analytics,"MLlib,MongoDB","OpenRefine,Dplyr,Scikit-learn,Tidyverse,Pandas,Data.table","PowerBI,ggplot2 in R",Data.table,"SAP BusinessObjects,Oracle BI,IBM Cognos",N/A
8,TORRENT GAS,AHMEDABAD,9704970623,torrentgas@internship.com,Yes,Work from office,8.7,0,6,2,1,Novermber,📈Data Science and Analytics,"MongoDB,MLlib,MapReduce,HDFS,YARN","Data.table,NumPy,OpenRefine",Tableau,"Tidyverse,Base R,Data.table,SPSS","SAP BusinessObjects,Oracle BI,IBM Cognos",Microsoft SQL Server
9,TCS NINJA,LATUR,9236361794,tcsninja@internship.com,No,Work from Home,9.9,1,3,0,1,June,📈Data Science and Analytics,"Redis,HBase,Cassandra,MongoDB,YARN,Spark SQL,Spark Streaming,MLlib,GraphX","Tidyverse,NumPy,Dplyr",N/A,"SPSS,Base R,Data.table",IBM Cognos,"Amazon Redshift,Microsoft SQL Server,Snowflake"
10,HIRSCHVOGEL COMPONENTS INDIA PVT.LTD,CHENNAI,9690261380,hirschvogelcomponentsindiapvt.ltd@internship.com,No,Work from office,8.2,3,3,1,1,June,📈Data Science and Analytics,"HBase,MapReduce","Scikit-learn,NumPy,Data.table,Tidyverse,Pandas","PowerBI,ggplot2 in R,Tableau",N/A,IBM Cognos,Amazon Redshift
11,ADANI GROUP,NASHIK,9001612258,adanigroup@internship.com,Yes,Work from Home,7.7,5,0,1,2,July,📈Data Science and Analytics,"HDFS,Spark Streaming,MongoDB,Redis","Data.table,Tidyverse,Dplyr,Pandas,Scikit-learn,OpenRefine,NumPy",Tableau,SPSS,SAP BusinessObjects,N/A
12,ACCENTURE,NAVI MUMBAI,9988702101,accenture@internship.com,No,Work from office,6.6,3,8,2,1,September,📈Data Science and Analytics,"HDFS,Redis,YARN,Hive",OpenRefine,"PowerBI,ggplot2 in R",N/A,"IBM Cognos,Oracle BI",N/A
13,CAP GEMINI,HYDERABAD,9609295777,capgemini@internship.com,No,Work from office,10.0,7,5,1,1,August,📈Data Science and Analytics,"MLlib,HBase,Spark Streaming,Hive,GraphX,Spark SQL,HDFS,Cassandra",NumPy,"Tableau,PowerBI","Base R,Data.table,SAS,Tidyverse",N/A,"Snowflake,Amazon Redshift,Microsoft SQL Server"
14,TEJAS NETWORKS,WALCHAND,9058561820,tejasnetworks@internship.com,No,Work from Home,7.7,7,10,0,2,October,📈Data Science and Analytics,"Spark Streaming,MapReduce,Cassandra,HDFS,MLlib,YARN,MongoDB,Hive,Spark SQL,GraphX",N/A,"Tableau,PowerBI",Base R,N/A,"Microsoft SQL Server,Snowflake,Amazon Redshift"
15,COGNIZANT GENC ELEVATE,NAVI MUMBAI,9836295722,cognizantgencelevate@internship.com,No,Work from office,7.3,7,4,1,2,July,📈Data Science and Analytics,"YARN,Cassandra,HBase,MapReduce","Pandas,Data.table,OpenRefine",N/A,"Data.table,SPSS,SAS,Tidyverse,Base R","Oracle BI,SAP BusinessObjects",Snowflake
16,INFOGEN LABS,AHMEDABAD,9494323438,infogenlabs@internship.com,No,Work from office,7.7,1,9,2,2,July,📈Data Science and Analytics,"MapReduce,HBase,Hive,Redis,MLlib,HDFS,GraphX,MongoDB,YARN","Scikit-learn,Pandas,NumPy,Data.table,Tidyverse,OpenRefine","Tableau,ggplot2 in R","SPSS,Data.table,SAS,Base R",IBM Cognos,"Snowflake,Amazon Redshift"
17,LOREAL,KOLKATA,9994467849,loreal@internship.com,No,Work from office,7.5,3,8,2,2,December,📈Data Science and Analytics,"HDFS,Spark Streaming",N/A,"ggplot2 in R,Tableau,PowerBI","SPSS,Tidyverse,SAS,Base R,Data.table","IBM Cognos,Oracle BI,SAP BusinessObjects","Snowflake,Amazon Redshift"
18,HINDUSTAN UNIVER,NAVI MUMBAI,9982865587,hindustanuniver@internship.com,No,Work from Home,6.7,3,5,1,1,December,📈Data Science and Analytics,"YARN,MongoDB,Spark Streaming,Redis,MLlib",N/A,"ggplot2 in R,PowerBI,Tableau",N/A,"IBM Cognos,SAP BusinessObjects,Oracle BI","Microsoft SQL Server,Snowflake"
19,SAMSUNG R&D,AHMEDABAD,9607170562,samsungr&d@internship.com,No,Work from office,6.0,9,2,2,1,December,📈Data Science and Analytics,"HDFS,MapReduce,Spark Streaming,MongoDB,Cassandra","Pandas,Data.table,Dplyr","Tableau,ggplot2 in R,PowerBI","SAS,Data.table,Tidyverse",SAP BusinessObjects,N/A
20,HDFC BANK,PUNE,9214124231,hdfcbank@internship.com,No,Work from office,9.7,5,2,2,0,October,📈Data Science and Analytics,"HDFS,Spark SQL,MLlib,Cassandra,HBase,Spark Streaming,Hive,YARN,GraphX,Redis","Pandas,NumPy","PowerBI,ggplot2 in R","Data.table,SPSS,SAS,Base R",N/A,"Snowflake,Amazon Redshift"
21,AKZONOBEL,GURGAON,9349838849,akzonobel@internship.com,Yes,Work from Home,9.9,10,1,1,0,October,📈Data Science and Analytics,"Spark SQL,MongoDB,Cassandra","Data.table,OpenRefine,NumPy,Pandas,Dplyr,Scikit-learn,Tidyverse",N/A,"Base R,Tidyverse",SAP BusinessObjects,Amazon Redshift
22,ARMSTRONG AUTOMATION,PUNE,9735029774,armstrongautomation@internship.com,Yes,Work from Home,9.4,7,9,1,1,October,📈Data Science and Analytics,"Cassandra,Spark Streaming,Spark SQL",N/A,N/A,N/A,Oracle BI,Amazon Redshift
