,Name of company,Address of company,Phone Number,Email Address,Previous Visited COEP,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Database Design,Datbase Development,Database Administration,Database Migration,Database Performance Tuning,Database Security,Data Warehousing,Big Data
0,CION DIGITAL,WALCHAND,9370023372,ciondigital@internship.com,No,Work from office,9.1,5,8,0,1,July,🔢Database Engineer,"ER Diagrams,SQL","MySQL,SQL Server,SQL,PL/SQL,Oracle Database,T-SQL,PostgreSQL",PostgreSQL,"Oracle Data Integrator,SQL","MySQL Workbench,PL/SQL","SQL,Microsoft SQL Server Audit,MySQL Enterprise Security","PL/SQL,SQL Server Integration Services,SQL,Oracle Warehouse Builder","SQL,Pig Latin,HiveQL"
1,CENTRIO,KOLKATA,9946818711,centrio@internship.com,No,Work from Home,7.6,4,0,2,1,October,🔢Database Engineer,"ER Diagrams,SQL",N/A,"Oracle Database,SQL Server",Apache NiFi,"PL/SQL,MySQL Workbench,Oracle Enterprise Manager,SQL Server Management Studio","PL/SQL,T-SQL,SQL","SQL,Oracle Warehouse Builder,Pentaho Data Integration,SQL Server Integration Services,PL/SQL","Pig Latin,HiveQL,Apache Spark"
2,ZENSAR,NAVI MUMBAI,9751818754,zensar@internship.com,Yes,Work from Home,9.4,8,0,1,1,Novermber,🔢Database Engineer,SQL,N/A,"Oracle Database,PostgreSQL,MySQL","Apache NiFi,Python,SQL,Oracle Data Integrator,AWS Database Migration Service","MySQL Workbench,Oracle Enterprise Manager","T-SQL,Oracle Database Vault","SQL Server Integration Services,SQL,PL/SQL","Apache Pig,Pig Latin,Apache Spark,HiveQL"
3,DEMATIC,CHENNAI,9898399620,dematic@internship.com,No,Work from office,8.7,8,8,0,2,June,🔢Database Engineer,SQL,MySQL,"PostgreSQL,SQL","Python,Apache NiFi,SQL,AWS Database Migration Service,Oracle Data Integrator","PL/SQL,SQL Server Management Studio,MySQL Workbench,SQL,Oracle Enterprise Manager,T-SQL",N/A,"PL/SQL,SQL Server Integration Services,Oracle Warehouse Builder,SQL","Hadoop,Apache Hadoop,HiveQL"
4,RENATA PRECISION COMPONENTS PVT.LTD,LATUR,9640747126,renataprecisioncomponentspvt.ltd@internship.com,Yes,Work from Home,6.8,7,7,0,1,June,🔢Database Engineer,SQL,N/A,"PostgreSQL,MySQL","Oracle Data Integrator,Python","T-SQL,MySQL Workbench,PL/SQL,Oracle Enterprise Manager,SQL","PL/SQL,MySQL Enterprise Security","T-SQL,Pentaho Data Integration,PL/SQL,SQL,SQL Server Integration Services,Oracle Warehouse Builder",Apache Spark
5,SHAPOORJI PALLONJI,HARYANA,9202130747,shapoorjipallonji@internship.com,No,Work from office,6.9,5,6,0,2,December,🔢Database Engineer,"SQL,ER Diagrams",N/A,N/A,N/A,"SQL,MySQL Workbench,T-SQL,Oracle Enterprise Manager","T-SQL,PL/SQL,Microsoft SQL Server Audit,Oracle Database Vault","Pentaho Data Integration,PL/SQL,SQL Server Integration Services,Oracle Warehouse Builder,SQL,T-SQL","Apache Pig,Apache Hive,Apache Spark,HiveQL,Hadoop,Apache Hadoop"
6,ICICI BANK,JAIPUR,9406361164,icicibank@internship.com,No,Work from office,8.1,4,9,2,0,December,🔢Database Engineer,N/A,"PL/SQL,Oracle Database,MySQL,T-SQL,SQL",N/A,"Python,AWS Database Migration Service,Oracle Data Integrator,SQL","MySQL Workbench,T-SQL,PL/SQL,SQL Server Management Studio",MySQL Enterprise Security,"Oracle Warehouse Builder,Pentaho Data Integration,SQL,T-SQL,SQL Server Integration Services,PL/SQL","Pig Latin,Apache Spark,Apache Pig,HiveQL,Apache Hive,Hadoop"
7,DAR GROUP,CHENNAI,9732827553,dargroup@internship.com,No,Work from Home,9.0,4,8,2,0,October,🔢Database Engineer,SQL,"PL/SQL,T-SQL,SQL,PostgreSQL,Oracle Database,SQL Server,MySQL","MySQL,SQL,Oracle Database,PostgreSQL",N/A,"Oracle Enterprise Manager,MySQL Workbench,T-SQL","Oracle Database Vault,T-SQL,MySQL Enterprise Security","Pentaho Data Integration,SQL,SQL Server Integration Services,T-SQL","SQL,Apache Pig,Hadoop,Apache Hive"
8,TALLY SOLUTIONS,PUNE,9698414663,tallysolutions@internship.com,No,Work from Home,9.9,7,5,0,2,July,🔢Database Engineer,ER Diagrams,"PL/SQL,MySQL,SQL Server,SQL","MySQL,Oracle Database,SQL Server,PostgreSQL",N/A,T-SQL,"PL/SQL,Oracle Database Vault,T-SQL","SQL,PL/SQL,Oracle Warehouse Builder","Apache Hive,HiveQL"
9,ENERGY MACHINES PVT.LTD,NAVI MUMBAI,9925477770,energymachinespvt.ltd@internship.com,Yes,Work from office,8.6,5,8,0,0,September,🔢Database Engineer,N/A,"PostgreSQL,SQL,MySQL,T-SQL,SQL Server,Oracle Database","SQL Server,SQL,MySQL,PostgreSQL,Oracle Database",N/A,N/A,"Oracle Database Vault,T-SQL","Oracle Warehouse Builder,T-SQL,PL/SQL,SQL Server Integration Services,SQL,Pentaho Data Integration",N/A
10,EY INDIA,NOIDA,9152555675,eyindia@internship.com,No,Work from office,9.0,9,3,1,2,October,🔢Database Engineer,"SQL,ER Diagrams","Oracle Database,PL/SQL,MySQL,T-SQL,SQL","SQL,SQL Server,MySQL,PostgreSQL","AWS Database Migration Service,Apache NiFi,SQL,Oracle Data Integrator","MySQL Workbench,PL/SQL,SQL","SQL,MySQL Enterprise Security,T-SQL,Oracle Database Vault,PL/SQL",N/A,N/A
11,ENERGY MACHINES PVT.LTD,PUNE,9069301801,energymachinespvt.ltd@internship.com,Yes,Work from Home,8.0,5,10,2,1,September,🔢Database Engineer,"ER Diagrams,SQL",MySQL,SQL Server,"Apache NiFi,AWS Database Migration Service,Oracle Data Integrator","PL/SQL,Oracle Enterprise Manager","SQL,PL/SQL,Oracle Database Vault,Microsoft SQL Server Audit,T-SQL","Pentaho Data Integration,Oracle Warehouse Builder","HiveQL,Pig Latin,Apache Hive,Apache Spark,SQL,Apache Hadoop"
